1,Laptop,High-performance laptop for professionals,Electronics,1
2,Wireless Ergonomic Mouse,Comfortable mouse for extended use,Peripherals,2
3,Mechanical Keyboard (RGB),Tactile keyboard with customizable lighting,Peripherals,1
4,27-inch 4K Monitor,UHD monitor with excellent color accuracy,Electronics,2
5,USB-C Hub (7-in-1),Multiport adapter for laptops,Accessories,3
6,Noise Cancelling Headphones,Over-ear headphones with ANC,Audio,1
7,Webcam HD 1080p,High-definition webcam for streaming/meetings,Peripherals,2
8,Standing Desk Converter,Adjustable desk riser for sit-stand work,Office Furniture,3
9,Python Programming Book,Comprehensive guide for beginners to advanced,Books,4
10,Project Management Software License,1-year subscription for team collaboration,Software,1
11,Espresso Machine,Automatic espresso and coffee maker,Home Goods,2
12,Yoga Mat (Extra Thick),Non-slip mat for exercise,Sports & Outdoors,3
13,Smart Water Bottle,Tracks hydration and glows to remind,Gadgets,4
14,Portable SSD 1TB,Fast external storage solution,Storage,1
15,Office Chair Ergonomic,Supportive chair for long working hours,Office Furniture,2
16,Logitech gamepad,gamepad,Gaming,1
